work,year,venue,doi_or_id,family,one_step_update,multi_hop,functional_encryption_or_functional_access,public_verifiability,history_or_state_chain,checkpoint_or_compact_certification,formal_security,prototype_or_evaluation,direct_relevance_to_camh_cufe,positioning_note,verification_status
"Cini et al., (Inner-Product) Functional Encryption with Updatable Ciphertexts",2024,"Journal of Cryptology",10.1007/s00145-023-09486-y,CUFE,yes,no,yes,no,no,no,yes,construction-level,"FOUNDATION","Defines CUFE and explicitly restricts ciphertexts to one update; CAMH-CUFE must solve repeated-update composability rather than simply loop Update.",verified publisher page
"Arriaga, Iovino and Tang, Updatable Functional Encryption",2016,"Mycrypt 2016 / LNCS",10.1007/978-3-319-61273-7_17,"updatable functional encryption",yes,yes,"functional programs over mutable encrypted memory",not central,"mutable encrypted state",no,yes,theoretical,"DIRECT SOTA","Repeated updates in functional encryption already exist in a different UFE/RAM-program model; CAMH-CUFE cannot claim first multi-update FE and must distinguish CUFE tag/state semantics and path auditability.",verified ORBilu/Springer metadata
"Ananth, Cohen and Jain, Cryptography with Updates",2017,"EUROCRYPT 2017",10.1007/978-3-319-56614-6_15,"generic updatable cryptography",yes,yes,"generic transformations include functional encryption",not central,"updatable state",no,yes,theoretical,"DIRECT SOTA","Generic cryptographic update transformations predate CAMH-CUFE; novelty must lie beyond generic updatability.",verified DBLP/author research metadata
"Schädlich, Scheu-Hachtel, Tairi and Wang, Ciphertext-Updatable Attribute-Based and Predicate Encryption from Lattices",2026,"SCN 2026 / IACR ePrint",ePrint:2026/1045,"ciphertext-updatable ABE/PE",yes,yes,"predicate/attribute-based access",not stated in abstract,no,no,yes,theoretical,"DIRECT SOTA","Provides multi-hop and unbounded-token ciphertext-updatable ABE/PE for bounded-depth circuits. CAMH-CUFE cannot claim first multi-hop ciphertext-updatable fine-grained encryption; it must establish FE output semantics, functional-key non-transferability, CUFE sequential composability, and path-aware audit/certification.",verified IACR ePrint abstract/SCN metadata
"Chandran et al., Re-encryption, Functional Re-encryption, and Multi-hop Re-encryption",2014,"PKC 2014",10.1007/978-3-642-54631-0_6,"re-encryption / functional re-encryption",not-CUFE,yes,functional re-encryption,no,no,no,yes,theoretical,"DIRECT SOTA","Shows multi-hop re-encryption and functional re-encryption predate CAMH-CUFE; novelty cannot be generic multi-hop re-encryption.",verified Microsoft Research/DBLP
"Liang et al., DFA-based Functional Proxy Re-Encryption",2014,"IEEE TIFS",10.1109/TIFS.2014.2346023,"functional PRE",re-encryption,not confirmed multi-hop,"DFA-based functional access",not central,no,no,yes,yes,"DIRECT SOTA","Functional proxy re-encryption transforms ciphertexts associated with access strings; distinguish from FE function-output semantics and auditable state histories.",verified institutional research portal
"Yao et al., Identity-Based PRE with Single-Hop Conditional Delegation and Multi-Hop Ciphertext Evolution",2023,"IEEE TIFS",10.1109/TIFS.2023.3282577,PRE,conditional single-hop delegation,yes,no,not central,ciphertext evolution,no,yes,yes,"DIRECT SOTA","Multi-hop ciphertext evolution is already established terminology; CAMH-CUFE must not claim this concept generically.",verified DOI/title metadata
"Levy-dit-Vehel and Romeas, Interactivity in Constructive Cryptography",2022,"arXiv",arXiv:2204.11653,"updatable encryption / composability",yes,iterated updates,no,no,resource/state model,no,yes,theoretical,"DIRECT SOTA","Provides composable treatment of updatable encryption and leakage-sensitive guarantees; constrains use of the word composable in CAMH-CUFE.",verified arXiv
"Cai et al., Verifiable and Fair Registered Attribute-Based Multi-Hop PRE for LLM Agents",2026,"IEEE TIFS",10.1109/TIFS.2026.3711852,"verifiable multi-hop ABPRE",re-encryption,yes,attribute-based PRE,yes,not replayable FE history,"NIZK / zkSNARK verification alternatives",yes,yes,"DIRECT SOTA","Closest recent multi-hop+verifiability neighbor; CAMH-CUFE must differentiate FE semantics, sequential CUFE composability, replayable authenticated history, and checkpoint trust semantics.",verified HKUST portal
"Liang et al., Pairing-Free Certificate-Based PRE for Secure Data Sharing in Public Clouds",2016,"Future Generation Computer Systems",10.1016/j.future.2015.11.012,PRE,re-encryption,no,no,no,no,no,yes,yes,"FGCS POSITIONING","Establishes longstanding FGCS acceptance of formally analyzed PRE for cloud data sharing.",verified ScienceDirect
"Eltayieb et al., Certificateless PRE with Cryptographic Reverse Firewalls",2025,"Future Generation Computer Systems",10.1016/j.future.2024.08.002,PRE,re-encryption,no,no,no,no,no,yes,yes,"FGCS POSITIONING","Recent FGCS cryptographic data-sharing construction with security analysis and efficiency evaluation; useful methodological comparator.",verified ScienceDirect
"Zhou et al., PCL-BPRE",2026,"Future Generation Computer Systems",10.1016/j.future.2025.108307,"broadcast PRE",re-encryption,no,no,no,no,no,yes,yes,"FGCS POSITIONING","Recent FGCS PRE paper combines formal CCA proof and experimental evaluation in cloud-based IIoT; CAMH-CUFE must exceed a local toy evaluation.",verified ScienceDirect/Lancaster
